prediction;gold;sentence 
negative;negative;he didn't, really.
positive;positive;it's the best proof that the series, ingoing it 4th season, is still alive and kicking hard.although the producer don't amaze u with some more flash-forward this time, the return to flashback is more than satisfying, a it brings some shocking facts.
positive;positive;"lynch isn't prepared to answer any question he poses, choosing instead to present his ""love story in the city of dreams"" a a set of interconnected abstraction and motifs.the acting is top rate, especially naomi watt a diane selwyn/betty, who is yet to eclipse this performance."
negative;positive;tony lo bianco is very good a vito the undertaker the lowlife heel who play off buddy and the mob to the point that lead to buddy's partner ansel getting killed.
negative;negative;this documentary primarily aim for the horror-loving public so we've pretty much seen all these clip already, haven't we?
negative;positive;her voice is strangely deep, almost boyish, which only enhances her already seductively eccentric persona.
positive;positive;this is about a far a i can follow the analogy.
negative;negative;this could have been done better by a high school film buff who had been given the camera lighting, filmstock and editingdestined to be a time-filler on sci-fi channel, when they've overused everything else from their library, and barely better than the paid programming shill downstream.
negative;negative;"be warned, the next time you see ""richard kelly"" involved in any production, run away."
positive;negative;if necessary i will die on this journey to see her dream realized.
positive;positive;"i haven't heard dialogue this good since ""blake's 7."""
negative;positive;the romance between tromeo and juliet wa believable, and erotic, not pulled off by many adaptations.
negative;negative;i would really love to know where to get a copy of the soundtrack though.
positive;positive;"at the beginning of this comment i wanted to talk about baz luhrman and what sinclair lewis called ""boloney""."
negative;negative;i'll just give the writer and director a bit of advice for next time: don't spend 5 week writing the first part of your screenplay, then 5 minute finishing the rest.
positive;positive;the ocean is one of the place that man know so little about and i think that is a mystery in itself.
negative;negative;one positive note, that allowed a vote of 2 instead of 1, is that it encourages good moral values.
negative;positive;just go see this movie.
positive;positive;"this ""childrens"" film ha excellent moral and show teamwork."
negative;negative;and if you insist on watching this, do so with the sound turned off - save your eardrums.
positive;positive;troma at it best, this film really is a gem, and go in my top 5 favourite movie of all time.
negative;negative;not one of director roger corman's best.
negative;positive;"recently, my viewing ha taken the form of stapled classic like ""raging bull"" or ""raiders of the lost ark"", but this time my vcr took me away from modern convenience and plopped me right down in front of lionel jeffries' ""the railway children""."
positive;negative;if you want a movie that drag you into darkness, then heart of darkness is the movie for you.
negative;positive;the creative genius which drove this game for the first two game wa gone, after all.wrong.the game is still intact, the joke are here, folks.
negative;positive;faithfully!!
negative;negative;this made me go 'what the f**k.' -there is no 'kelly' in the movie.
negative;positive;one thing i love about this movie is the direction, because mainly on how it surpassed my original expectations.
positive;positive;the intellectual journey and the twist and turn of life's moral highway make interesting viewing.
negative;negative;having just seen it on ppv, i can tell you it wasn't trimmed, it wa butchered like that poor family!
positive;positive;i think this film is a perfect example of the of the power that drama has.
negative;negative;this movie basically try to make the life of a firefighter exciting but it just come off a boring a any other job except you save life or property by extinguishing the fire.
negative;negative;surely at the very least solo would have had a tracking device inside it so the military would at least know where it wa at any given time?
negative;positive;oh sure, it follows the storyline of now having popeye in the u.s. navy.
positive;positive;duchess is a pretty white cat who life with her three kitten in her wealthy owner's mansion in paris.
negative;negative;dialogue in this flick just killed me.
negative;positive;this movie ha made a huge impact on me and i plan on buying a copy of it in the very near future for my personal library.
negative;negative;i give it a 2 for using london a a location, which is a nice change, for gilsig being actually decent in a key support role and for the few cgi shot that were decent (those of the water closing in on london and the gates).do yourself a favor and check out day after tomorrow or just about any disaster movie before this one.
positive;positive;this is the program that famously introduces the war-hungry romulans, who are distant relative of the vulcans.
positive;positive;(strong) a
negative;negative;this is very silly because it once again make kirk's crew seem like a bunch of soft-headed, easy-to-impress morons, who - once they fall in love with the enemy - are capable of doing just about anything.
negative;negative;ok, yes i know i'm a philistine, and i have no knowledge of, nor love for opera.
positive;negative;you could take numerous piece of dialogue and anticipate the role it would play in the ending.catherine zeta-jones and aaron eckhardt did decent job in undemanding role and abigail breslin played the cute role admirably.
negative;positive;everything in front of the camera is anything but simple.
positive;negative;kevin zegers and cynthia stevenson were absolutely pathetic.there were a few hilarious moment near the end by a couple of football announcers, but that isn't even worth mentioning.
positive;negative;one day, a rebel who wish to marry the princess decides that it's time they ventured into the cursed land to claim it for the king and the king agrees, when they reach the land the king is captured by the beast and the rebel return home to lie to the kingdom that the king ha been captured and killed.
negative;negative;at first i thought perhaps that when treeline film wa doing the dvd transfer, they might have reversed two of the reels.
negative;negative;without a doubt, this movie tried to rely way too much on (rather poor) cgi.
positive;positive;a man and his wife are not getting along because of the wife's jealousy and drinking problems.
negative;positive;to say much more about the film itself might ruin it for anyone who hasn't seen it...if you are into creepy, gothic tales, find it and rent it.
positive;negative;"by this point in the series the energy and charm is lacking even more than in 'herbie ride again'; the movie is overlong and threadbare, although it's watchable thanks to the return of jones's typically likable performance, a few funny bits, and the cast's frantic mugging."
positive;positive;teen a well a young adult would find this movie well acted and entertaining.
negative;positive;"throw in rita hayworth a his love interest and comedian phil silver of all people a his sidekick and you have the ingredient for a real crowd pleaser, which is exactly how it turned out.kelly play danny mcguire, a nightclub owner in brooklyn (brooklyn is always the ""wrong side of the tracks"" in '40s films) whose star attraction and love interest is rusty parker (rita hayworth)."
negative;positive;how many time have we had to suffer the embarrassment of someone playing a middle class dad mixing it with the flower child aagh!
positive;positive;this movie, a my chinese girlfriend informed me, feature two well-known hong kong pop stars.
negative;negative;along the way, she go out with a fat guy who look like he could be orson welles' brother and he later take a header off a building in one of the only interesting moment in the movie.this is a strange little film that is very cheaply made--and it sure shows.
negative;negative;the boyfriend: he's just around to co-exist with the final girl until his demise.
negative;negative;"go rent ""circle of iron"" or ""the killer shrews"" instead."
negative;negative;yes, i'm amazed at the length the filmmaker went to in searching through archival footage.
negative;negative;see, this movie is really terrible, the acting is pretty good, but the casting is awful gear and willis did their best to play these character they simply cant play.
negative;positive;bonham's genius shine more on this dvd then on any album with zeppelin, the band of joy or lord sutch.
positive;negative;excellent example of the disaster that happens when you combine a challenging script with two actor chosen for physical appeal.
negative;positive;you will find yourself wishing for and hoping their situation improve.
negative;positive;great stories, twist and the way it wa shot - to the untrained eye (not that mine is trained) can be miss-interpreted a being ropey but it add to the film absorption of the audience.
negative;positive;jacobi's rendition attracted me to a deeper knowledge.
positive;positive;now that's a utopia worth building.
negative;positive;whereas john steed wore a bowler hat, briggs had a trilby.
positive;positive;i bought the dvd a long time ago and finally got around to watching it.i really enjoyed watching this film a you don't get the chance to see many of the more serious better quality bollywood film like this.
negative;positive;very new to american then....remember that!!
negative;positive;had it not been for gregory peck a addicus fitch, the acting here would be much more lauded.
negative;negative;okay, i'm sorry to the cast and crew for this review, but this movie is by far the worst i've seen yet...first off, the acting wa okay.
positive;positive;"i mean, ""best"" ha everything."
negative;negative;i can only assume that his recent cornea transplant wa a success then.watch the trailer a thats a warning a to how bad this film is.
negative;negative;probably the worst film i've ever seen.
negative;negative;all these different scene hang together by a lame wraparound story starring donald pleasance and nancy allen sitting in a movie theater.
negative;positive;behind that pas there is the whole 'pache nation.
positive;positive;"the taut filming of the robbery, half an hour of total silence, is what people most remember about the film of course, and indeed it's pretty remarkable; but i liked the half-completed location of the final shootout, once the robbery ha gone sour thanks to the big mouth of one of the thieves; the excellent portrayal gritty side of paris in stark black and white; and servais' channeling of both eddie constantine and humphrey bogart in his spare but brutal performance.perhaps it's a bit too sentimental in the end, but this is one of those classic that really doe live up to it reputation just a pure entertainment even if what it ha to say about the human condition isn't exactly deep or thought-provoking; george auric's at turn modernist, romantic, and jazzy score is another highlight."
positive;positive;i cannot recall any other tv series (babylon 5, buffy, angel, etc) that smartly and intelligently put together such a heartbreaking (at times) and suspenseful ride.i think that at the end of the fourth season, thing were finally becoming tightly focused and i am shocked at the decision to cancel the series.
positive;positive;stranger on a train, one of hitchcock's first and more underrated hits, is a perfect example of these trait - an entertaining and suspenseful story, even when viewed over 50 year later, yes, but so carefully and intelligently constructed it stand today a a masterpiece in film technique.
positive;positive;look at how perfect that pie is, but go back and look at the cake betty makes.
negative;negative;that's the case here.
positive;negative;well acted, yes.
positive;positive;i thought i read here that there is sometimes an assumption that *revenge of the rats* is a sequel.
negative;positive;"name acronym on the headboard of bugs's bed 2/ bug bunny's short journey with the mine hoist climbing up to the ground floor 3/ when nero the lion call his friend the elephant for help, bug us a toy mouse to scare the elephant; since the elephant needed a broom to outpower that toy mouse, he us nero a a broom!"
negative;negative;just a couple of minute later, we then see that particular scene.
positive;positive;if you enjoy suspense this movie ha it.
positive;negative;if you are desperate enough or a hackman freak see it otherwise don't!live well and prosper
positive;positive;"but if you like a good soap a i do, ""the best of everything"" will more than satisfy you."
positive;negative;not once ha it been funny, captivating, exciting or original.
positive;negative;also, cbs put out a miniseries on jpii that is better than abc by far.
negative;negative;by the way, did i mention that this movie sucked.
negative;negative;"everything in ""paranormal state"" is short-handed into half hour, ""dog the bounty -- er, ghost hunter"" blocks."
negative;positive;it wa an ideal embodiment of impermanence.
positive;positive;this italian gem stand for pure entertainment and feature stuff like voodoo, volcanic eruptions, mutant fish-creatures, the mysterious continent of atlantis, treasure-hunting, a remote island filled with death trap and utterly mad scientists!
negative;negative;director fabio barreto got a strange academy nominea for his last movie o quatrilho.
positive;positive;"i think the use of a ""fake"" war make the film timeless, a relevant today a ever before, and by focusing on the human relationship through war, make the film relevant to everyone."
negative;negative;raj and pooja are a little too long in the tooth and a little too self-reliant to be doing the dreamy-eyed, pouting, unrequited love bit, more appropriate to lovelorn school kid than the parent of four grown children.
negative;negative;i watched this knowing it would be bad, but usually watching a bad movie make me feel good because it give me something to make fun of.
positive;negative;a an homage to underdog, it is even worse.
negative;negative;this is a far cry from charlie chaplin, but it wa still nice to see him.
negative;negative;the dialog and plot are about a complex a that of a dr. sue book.
negative;negative;the rest of the acting and the movie itself have all of the b-film quality that some of u cherish.i recently spent 2 year trying to acquire a copy of this movie, and it is almost nonexistent.
positive;positive;the best pic about vietnam is 'platoon' in my opinion and if a viewer is seeking a retelling of the vietnam war go there first for answers.
negative;negative;this contains some spoiler information, but the movie is not worth watching anyway...why ellen barkin and peta wilson agreed to be a part of this debacle by writer-director damian harris is beyond me.
negative;negative;he is finally subdued in a most retarded manner that i can't tell you.
positive;negative;when a bogart lookalike--asking a question about a falcon--is the best joke, what follows is anemic indeed.
negative;positive;she becomes a stalker/lunatic/nut-job when she let the man she fall in love with drive her banana after he's done with her.
negative;positive;unfortunately, it wa not networked.
negative;negative;"it's weird, this film; you get the impression that the maker of this snooze-fest spent more time in the local bar than on set."
positive;positive;mute witness is a modest, yet very solid thriller that never really received the attention or good comment it deserves.
negative;positive;i very nearly did not see 'hi-de-hi!'.
negative;positive;finally mumblethunder manages to drag philip into a tailor's shop to be measured for a proper pair of pants, but philip escape from there a well to chase more skirts.
positive;positive;"the amount of well known to vaguely recognized actor in this film is one of the best thing about it: soon, much sooner than you realize, you too will find yourself saying, ""is that meat loaf?"
negative;positive;the ending of both version leave room for interpretation.
negative;negative;i should have followed my instinct and turned off the movie before it even made it past the 15-minute mark.to lynch's credit, she did manage to interject many thing that make a good film: sex, violence, humor, and well-trained actors.
negative;positive;"this movie take a handful of ticked-off young film maker and clearly and cleverly show the ""why"" of their angst over not being given the green light on finishing the waldo film."
negative;positive;now, we're teenagers, so we tend to make fun of a lot of things, but honestly, the acting here really wasn't very good, especially at the beginning.
negative;positive;if only there were more genius' like justin out there!
negative;positive;skeleton of dead bird lay egg which hatch skeleton chicks.
negative;negative;like camp rock.
negative;positive;it's just a great suspense builder and mostly everything click into place!
negative;positive;it's like watching long-lost brother and friends, and it hit me right where i live.
positive;positive;it is a definite guarantee.
positive;positive;it is an innovative mean of conveying a shift in the `reality' of the moment, and work beautifully.
positive;positive;"along the way, they also encounter ""doctor"" a locksley hall and his ""hoochey koochey wagon"" and lend them help.lovingly directed by ford who pay close attention to detail with realistic problem any group would encounter during a rugged wagon trail."
positive;negative;this is one entertaining flick.
negative;positive;on the other hand there were many scene that involved drug use and although important to understanding the character lifestyle, i think there wa some overkill in this department.
negative;negative;all the actor stay true to the script.
negative;negative;that wa worse than this, quite a bit worse: but it did have one thing: it had beautiful woman in negligee wresting each other -- for about 20 minutes.
negative;positive;we all seem to be in agreement.
negative;negative;my friend and i have watched this so many time i have lost count.
positive;negative;her father and mother and 2 other sibling died in the movie.
negative;negative;that doesn't sound accepting to me.-aiden want her to runaway with him.
negative;negative;"maybe that's how the book goes, but for a long a i can remember the first utterance of tarzan were ""me tarzan, you jane""."
negative;negative;the entire film should have been left on the cutting-room floor.
positive;positive;in many way the film resembles 2001 - a space odyssey, especially it opening sequence.
negative;negative;she represents everything that is wrong with american woman.
negative;negative;no.acting, corny and rubbish.sound effects, cheap and nasty, if it wasn't for where the actor looked you wouldn't know where it wa coming from.cinematography.
negative;positive;camilla belle did really well in this movie, and i think that the other actor and actress ruined the movie for her.
negative;positive;memories, tapes, and rerun on courttv just aren't the same a watching it come on every friday.
positive;negative;perhaps you could steal her from me, marry her, give her the baby and the picket-fenced home she yearns for.
positive;positive;what a remarkable story , and once again it is - unlike many story that claim to be - totally true .
negative;negative;)and where wa the mod in that squad?
positive;negative;"i have a theory that the backer for this movie also own the poker magazines, because i saw a very favorable review in one of the magazines. """
negative;negative;this is predictable black and white sci-fi.
negative;positive;normally i try to avoid barbie films, but this one wa unmistakably awesome.
positive;positive;it is now, by far my favorite movie of all time.
negative;negative;"when i saw promos for a&e's ""paranormal state"" i knew i wa going to watch."
negative;negative;there wa no story to be told, just a show off of acting, technique, beautiful scene - that were all empty.
negative;negative;if you watched pulp fiction don't see this movie.
negative;positive;it went downhill when cadell left to return to the theatre though.
negative;negative;she show a little too much flesh in this movie, something davis and crawford would never have done.
positive;negative;this well researched film also forgets to include the engineer's seat in the cockpit and replaces it with two comfy rumble seats.
negative;negative;exactly the sort of film the irish film industry shouldn't be making.
negative;positive;"gylenhall also is wasted a a minor analyst pushed into in area he's over his head in, although he get to do the ""right thing"" in the end.i found the movie engrossing, if somewhat languorous, but thought it added little to the subject."
positive;negative;a i write this user-comment, tim burton's interpretation of the sweeney todd tale is making big money at the box office and the film even earned a couple of oscar nomination if i'm not mistaken.
negative;negative;i'll review this film version solely on it own merits, a i don't know how faithfully it follows the original novel.the film's opening credit are printed in an old english typeface that suggests the mediaeval period, and so it's a very poor choice for a film with a 19th-century setting.
positive;positive;however, thanks to excellent production value and a juicy script, this one is a joy to watch.
negative;negative;both film were targeted at family friendly audiences, thus inhibiting themselves from actually trying to scare anyone.
positive;negative;in fact, the whole bloody brood is so happy, loving and harmonious that they make the von trapps look like a dysfunctional family in comparison.
negative;negative;the only one who can be interested in this film are those who lost their job and want to know why.
positive;positive;i think this is the first real director's cut i've ever seen.
positive;positive;in the end, this is one terrific little thriller that deserves your attention.
positive;positive;in this respect the film pale in comparison to rising damp's brilliant series.
positive;negative;).some new stuff is doing well (the olaf character, sometimes, like with the stone explanation, but it's not great) but the modern reference are exasperating (music, sm -not even a verbal joke, just a stupid bird named short message service: doe anyone know imagination?).
positive;positive;and i also liked hearing from otto frank.
negative;positive;furthermore, many people feel the cult committed mass suicide when the fbi stormed mount carmel center and when the building wa burning.
negative;negative;a some of the character are visited by dead people and some just seem to be haunted by their guilty conscience it's not quite clear exactly what the connection is, but the vision do all seem to look like sixth form art films.
negative;negative;to top it off, the female lead character continues to annoy you off with her stupidity.
negative;positive;it's not a children's movie.
positive;negative;"by the end of the movie, the strange truth is revealed, which i won't reveal here.one of the other user commenting on this state ""this is a classic film and should be enjoyed and not picked apart""."
positive;positive;"a new movie that's in the making, called ""dreamseller,"" is in production, which is about the story of novak's dreams, shattered by his addiction."
negative;negative;a soon a the movie starts, you immediately sense that this is going to be worse than you expected, and you will be right.in the first half hour, it seems to at least attempt to set up a passable u.f.o.
positive;positive;john cusack star a hoop in this silly little movie that ha to be one of the best of the eighty teen comedies.believe it or not demi moore is his co star...if you love the eighties,grew up around that time,or are an angst ridden teenage artist get ready to laugh.wait until you see the cartoons..what a riot....
negative;negative;the violence is mild, there are a few ok fight scene but this is pretty weak stuff really.technically the film look alright & is competently made, it wa actually shot in mexico.
negative;negative;a guy in a rental recommended it.
negative;positive;slightly forced at times.kudos on dax shepard in this one.
positive;negative;"most egregious of all is the seemingly endless harangue we are subjected to an the end, a speech in which raj (who ha somehow managed to turn his experience into an award-winning bestseller) lecture u all on the verity of parent/child relationship for ten straight minute at the very least.""baghban"" is a sappy, corny saga, filled with more sugar and goo than a king-sized box of see's chocolates."
negative;negative;they aren't even being smart about it 10/10 in the votes?
negative;positive;a for the script, it seemed pretty ordinary for the most part, but the final showdown between scott and barton maclane wa a lot better than i'd hoped--making this movie ending on a very high note.
positive;negative;the performance are horrible by pretty much everybody.
negative;positive;but such an elaborate demonstration wasn't necessary.
negative;negative;the humour - which is pride & prejudice, both austen's methodology and her appeal - wa almost entirely suppressed in favour of all this po-faced melodrama, and when it wa allowed in, wa handled so clumsily.
negative;negative;but after the kind of funny introduction of characters, setting and potential conflicts, the story turned out kinda dull.
negative;negative;the jackass: sure, he look pretty, but he's the idiot in the movie that's inserted purely to be an idiot.
negative;negative;"i have never wished i could be watching a movie with dean cameron in it instead of what i wa watching in my life, but ""ski school"" is a masterpiece of comic genius compared to this travesty.my grade: f eye candy: nikol nesbitt, buffy tyler and suzanne stokes all unleash their tupperware titswhere i saw it: starz on demand"
negative;positive;she, herself, wa pregnant--an interesting conjunction with the movie's plot--and the novice director wa unsure, fairly green, and having great difficulty with all the decisions, logistics, etc.
negative;positive;based on the running time i assume that it wa the 1915 version that i saw, since the 1916 one is a good 20 minute longer, and from what i've read, those are 20 unnecessary and unimpressive minutes.
negative;positive;the question, however is: did han just kill himself because he could not stand anymore his miserable environment, or did he make self-justice?
negative;positive;i thought i would be worn out watching the movie again, toughing it out just to look for the added scenes.
positive;positive;second, christopher doyle's award-winning, breathtakingly beautiful cinematography creates an environment which not only envelope it two main characters, but seems to ooze with romantic longing in every one of it sumptuous, meticulously composed frame.
positive;positive;suspend belief and spend a couple of hour watching this, you will be glad you did.
negative;negative;"when the twist and turn finally revealed themselves, rather than saying ""ahh, i get it!"""
negative;negative;"somewhat fitting, given the actual fifteen minute content.i can do without any of the ""shemp a.d."" stuff, but i will admit to having a few lol moment from the two-man comedy offered by moe and larry in some of the new footage (and kudos to those guy for trying to give it their all, considering the position they were forced into in even making these dogs).another bright spot to this and the last a.d. debacle ""commotion on the ocean"" is the decided lack of screen time for joe palma and the back of his head."
positive;positive;i cannot say that i loved this film, nor will i, but it should be standard viewing for everyone learning or wanting to experience the growth of the skateboarding trend.
positive;positive;), but it's sandvoss who ha become something of a gay icon, with his sensitive portrayal of a sweet-natured innocent whose journey from darkness into light lead to a startling revelation about his place in the world around him.
negative;positive;around the time of beavis and butt-head, ren and stimpy, and even the maxx were hitting tv set via mtv, usa put out two shows- one of them wa weird science, and the other wa duckman.
negative;positive;well after i finished 15 park avenue, there wa a sense of unquenched thirst within me.
positive;positive;what korseh and davidians were doing wa just protecting their constitutional rights, and the higher power completely violated and raped those rights.
negative;negative;maybe the russian film wa bad but not a bad a this.i'm down with the p.e.
negative;negative;when they fell in love.
positive;positive;the tension is ratcheted up through some phone call from leary to horrigan-leary wanting to keep horrigan close but not to betray his location and plans.rene russo is excellent a lily raines a fellow agent with whom horrigan develops a grown- up relationship.
negative;negative;thing that grange hill wa doing better when my parent were young!
positive;positive;there is a sublime scene reminiscent of a canterbury tale, when jewellery left a a trap by white bull in the tree is suddenly blown in the wind: there is a haunting, tingling, magical, thrilling effect more reminiscent of the arabian night than a horse opera.
negative;negative;when luther steal the boyfriend motorbike the movie take a turn for the worse.
negative;negative;this is possibility the worst and most disappointing film i have ever seen.
negative;negative;he even made the awful vega vacation at least worth a look.i will say that he try hard in this made for tv sequel, but that the script is so non funny that the movie never really get anywhere.
negative;negative;it's like, nobody looked like they were supposed to except for joseph jackson.
positive;positive;i give it 10/10.
negative;negative;- the directing: well let's say, i bet it wasn't hitchcock.then to add to these facts, there wa absolutely no talent involved wath so ever.
negative;negative;mild spoiler !!!
negative;negative;after tying up the hijacker, despite several bus-loads of people on this jumbo jet, nobody bother to watch this guy who almost killed all of them.
positive;positive;it's a good movie, not a consolation prize for teary woman around the world.
negative;negative;"""cinecolor"" to be exact."
negative;negative;couldn't guess the end.
negative;positive;however the croc's attack are very unpredictable(which wa bad for me who doesn't handle film like this all to greatly), and this doe make you jump.
positive;positive;the cast wa amazing.
negative;negative;the flawless artistic action involved ?
negative;negative;okay, i guess.
positive;negative;"after seeing this film, i have a new purpose in life; to find the midget who played the monkey and stab him in the eye with a fountain pen."
positive;positive;cowboy and indian is an excellent film.
negative;negative;oh, and it certainly did.
negative;negative;oh well, i think plot is secondary to other issue in this flick.
positive;positive;arthur is the one who get the most best scenes, and he give and hilarious performance a the cowardly yet witty assistant.
negative;negative;i don't recommend anybody to watch this.
positive;positive;this is one of the best film i've seen in the last years.belmonndo and deneuve shine in their respective roles, he a a naive plantation owner and she a an enigmatic trickster.words won't do this masterpiece justice,suffice it to say that this is a movie that explores the darker side of love and the pain,humiliation and capacity for self-delusion that go with it, although it's dressed a a film noir.
negative;negative;weber took this poor, naive (although incredibly handsome) teenager whom he found at a training camp for high school wrestler in the midwest, brought him to live in his home, and took thousand of homoerotic photo of him, many of them full-frontal nudes, all through johnson's teenage years.
positive;positive;the music is fantastic, and once more michael haneke put reality in the big screen.
positive;positive;i saw it for the first time last night and fell in love with it!
negative;negative;arnold, doesn't look like he belongs in this one, why he agreed to play the role is beyond me.
negative;positive;though not 'restored' it musical soundtrack wa clear and the print only suffered from nuisance black-spots (dirt) and drop-outs.
negative;negative;i looked up the one review on another site and found that it wasn't even a real sequel.
negative;negative;only the runway's 300 foot too short!
negative;negative;"""no question about it, ""final frontier"" is not just an unmitigated disaster, it's cruel and unusual punishment."
positive;negative;he speaks a if english is almost a foreign language, rarely using contractions.
negative;positive;let`s keep deadly voyage a superlative tvm rather than a poor blockbuster
negative;positive;there's at least one scene where he is genuinely a little scary.
negative;negative;"were it not for the fact that this came a a 2-dvd set paired with the original american graffiti; were it not for the fact that i've been here in iraq for several month and, at this point, will watch pretty much anything, i would have tossed this movie in the garbage after the first ten minutes."
negative;negative;a someone who ha an understanding of programming, the explanation by ibm make perfect sense--if you knew what you were doing, it would not be terribly difficult to put something in the code so that, if thus and so condition are reached, then do thus and so--in other words, tell the computer what to do if a situation like the one that kasparov created in game 2 ever happened.
negative;positive;i expected either jed or the colonel's wife to reap some retribution for their sin.
positive;positive;a he is now better able to see, he becomes le able to deal with the circumstance of his life.
positive;positive;director lieberman, who gave u such great b film a squirm (1976) and blue sunshine (1977), doe an excellent job with this smart thriller a well.
negative;negative;hayakawa also fall in love with peil's daughter tsuru aoki (ume-ko), believing she's the reincarnation of his long lost princess.
negative;negative;it remains on the surface all the time.
negative;negative;then you spot a nice plastic or drawn set.
negative;negative;bandidos none of the character in this film wa likable for me.apart of the weak content which target certain customer this film is well shot, set are somewhat detailed and the acting is average.
negative;negative;there are some moody b&w shot here and there that don't completely suck.
negative;negative;really amazing b, i mean, z film.the plot are bad, cliché and bad wrote.
positive;positive;"aside from ""brotherhood of the wolves"" and ""dobermann"" i have not yet seen a bad movie with this couple."
negative;positive;now, nearly 20 year later i finally got to see something more than the not-so-good the song remains the same.
positive;positive;revathi, hrishita bhatt, mohan agashe and kunal vijaykar have small role which they play to perfection.
negative;negative;once again there are the occasional high spots, but neither cast nor crew manage to inspire proceedings.
negative;positive;while today most people don't remember mckinley nor remember that he wa assassinated, the film is set in this interesting time period.
negative;negative;what make this movie so damn bad?
positive;negative;the film is highly unoriginal.
negative;negative;it fails a a comedy, a a suspense thriller and a a horror movie.
negative;negative;he ha become lazy and can't be bothered to write anything interesting, either for his own movie or a collection such a tmo.
positive;positive;"with an opening segment that imitates the music and cinematography of todd haynes's safe (1995), david lynch us dream, myth and warped notion of reality to tell the fractured story of a failed bit-part hollywood actress/waitress, diane selwyn, let down by fame and her own demon and obsessed with camilla rhodes, who is engaged to hotshot director adam kesher.the film effectively take place in diane's drug-fueled head; we are witness to her crazy distortions, her wish-fulfillments, regrets, obsession and fears."
positive;negative;this look so good on paper - matt damon, lawrence fishbourne, jean reno, nice right?
negative;positive;it always escape me why she wa never credited?
negative;negative;any screenplay you might have thought of using toline a litterbox or a birdcage should now not seem that bad.
positive;positive;rory gilmore is a good role model for all girls.
negative;negative;it's like they took the name from the show, and cut out all that made it good in the first place.the poster hide carell's face beyond that of hathaway's.
positive;positive;our vision would be one which expects the main character to triumph, to vanquish, to change his world (for the better) back into a world of plenty that no longer exists.we look at this movie and see a true knight among a world of humans-as-animals.
positive;negative;she wa quite beguiling in appearance here, but i still didn't buy her a a spy.i couldn't keep my focus through the whole movie and found myself tuning in and out - and having conversation with those in my room (which i usually never do - i'm always shushing everybody).
positive;positive;i find the plot very realistic, and i can completely identify with jimi's feeling of being terrified, worried and upset.
negative;positive;his thought of what got him there are presented to u in a past-tense, narrated style that accurately explains much of dahmer's psychosis and motif which led him to commit murder almost 20 times.
negative;negative;what else can i say?
positive;positive;"if you enjoy film like ""valley of the dolls"" you'll like this one too."
positive;negative;"and ""i see it."""
negative;positive;of course, the wizard of oz is a true classic whereas voyage into space is low budget nonsense.
negative;negative;that is what the viewer expects when they watch a film that is terrible and shot on video.
negative;negative;the suspense created disappeared because of horrible acting or lack of direction from the director..
positive;negative;where are the good animators, the good songwriters, the good directors, the good...
negative;negative;this trashy european weirdo walk up and start talking pretentious fruitiness to the main character, sounding like he just walked out of an episode of dark shadows.
negative;negative;wa he still using hooked-on-phonics and just got his letter mixed up to make these horrible sentences?, or wa he trying to get the director killed by the few people who saw this?
negative;negative;i like jeff daniels, but he should stick to acting and forget writing.
negative;negative;they also spend too much time on talking rather than fighting which can bore the viewers.
positive;positive;kanwaljeet and waheeda rehman, splendid actor both, seem ill at ease when delivering their dialogue in english.
negative;positive;there won't be a lot here that horror fan haven't seen before but there's a few brutal scene and sufficient gore to satisfy the hard-core fan.
negative;negative;a difficult choice ha to be made: continue the old situation or start all over by following the heart.
negative;positive;f*** no.
positive;positive;i suggest that you see this show if you can!!
negative;positive;2.
positive;positive;"i haven't seen any of jules dassin's american film for several year but based on this i'll probably be going back and re-watching ""brute force"" and ""night and the city"" quite soon.jean servais, a name unknown to me but a face rather familiar in it world-weariness and coldness, ha recently completed a lengthy stay in prison and a is the way in these film (hey, there wouldn't be a story otherwise) isn't coping well with the straight life."
positive;negative;chareters snub chance to arm themselves with gun and knife while luther is away.
negative;positive;an opera!!
positive;negative;i admit that it's one of those movie where it's so grotesque you simply can't look away, but this is by no mean a creative work of art.
negative;positive;we all need to understand way of dealing with the past.
negative;negative;poor lady.
positive;positive;used well towards the end to follow veronika through the mass of returning soldiers, it is magnificent earlier on a she roams through those saying goodbye to their loved one while she search for boris, her own farewell needing to be said.
positive;positive;wide truck and big red wheel (precision bearings, don't ya know).
positive;negative;however, this short little story is done with style(!
positive;positive;but andaaz apna apna is pretty different from the movie i have said above.
positive;negative;and even if this weren't true, that's not my point.
positive;positive;and yet here thanks to a perfect script it is made believable.
positive;negative;"now imagine that the image in the slide show consist entirely of mundane scene  a small park; and empty tennis court; a piano."
positive;positive;one of my favorite scene is the pub scene.
negative;negative;the story is an endless chain of killing where nearly every character ha only the purpose to deliver more carcasses.
negative;negative;despite a totally awful premise, the action is pretty good and it's great to see overhead shot of obvious double fighting it out in this grudge match.
negative;positive;in the meantime, go to an indie video store and hope they have it.
positive;positive;this film is a must see!!
negative;negative;), but most of them are certainly fun to watch go off.
negative;positive;he is mostly inspired by the great m.davis and t.monk.
positive;negative;maybe i'm wrong and that's what quality family humor ha been reduced to.
positive;positive;powerful performance by vario, (uncle benny), sara, (jessica tsunis), and morris, (eddie monroe).
positive;positive;you're a sap mr. jap and others like spinach fer britain aren't cartoon vehicle for comic relief in the theatre's program at all in the true sense.
